participant,Start Date,age,race,gender,gender_other,prsri_1,prsri_2,prsri_3,prsri_4,prsri_5,prsri_6,prsri_7,prsri_8,psqi_1_hour,psqi_1_min,psqi_1_ampm,psqi_2,psqi_3_hour,psqi_3_min,psqi_3_ampm,psqi_4,psqi_5a,psqi_5b,psqi_6,meq_19,erqf_1,erqf_2,erqf_3,erqf_4,erqf_5,erqf_6,erqf_7,erqf_8,erqf_9,erqf_10,erqdf_1,erqdf_2,erqdf_3,erqdf_4,pers_1,pers_2,pers_3,pers_4,pers_5,pers_6,pers_7,pers_8,pers_9,pers_10,pers_11,pers_12,pers_13,pers_14,pers_15,pers_16,pers_17,pers_18,pers_19,pers_20,pers_21,pers_22,pers_23,pers_24,pers_25,pers_26,pers_27,pers_28,pers_29,pers_30,erqse_1,erqse_2,erqse_3,erqse_4,erqse_5,erqse_6,erqse_7,erqse_8,erqse_att,erqse_9,erqse_10,erqse_11,erqse_12,erqse_13,erqse_14
0078,10/2/2018 19:48,17,"Asian / Asian American,White / European American",Female,,A little bit,Somewhat,Quite a bit,Not at all,A little bit,Not at all,Somewhat,A little bit,12,0,AM,5,6,0,AM,6,Less than once a week,Less than once a week,Very good,Rather more an evening type than a morning type,4,5,6,1,4,3,5,4,6,4,5,6,4,5,Very like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Somewhat unlike me,Very like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Very like me,Very like me,Somewhat like me,Neither like or unlike me,Very like me,Somewhat like me,Very like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Somewhat like me,3,7,5,4,5,7,4,4,5,6,2,4,6,5,4
0079,10/2/2018 19:46,18,White / European American,Female,,Somewhat,A little bit,Quite a bit,Not at all,A little bit,Not at all,A little bit,A little bit,12,0,AM,10,7,0,AM,6.5,Less than once a week,Less than once a week,Fairly good,Rather more an evening type than a morning type,4,5,5,3,4,4,5,4,5,4,4,6,4,5,Very like me,Very unlike me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Very like me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Very like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Very like me,5,6,3,4,5,6,3,3,5,5,4,4,5,5,5
0080,10/1/2018 22:55,18,White / European American,Female,,Somewhat,Somewhat,Quite a bit,A little bit,Somewhat,A little bit,Quite a bit,Somewhat,11,0,PM,20,8,0,AM,8,Three or more times a week,Three or more times a week,Fairly bad,Rather more a morning type than an evening type,6,5,4,4,6,5,4,6,4,5,6,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0081,10/2/2018 23:06,22,Asian / Asian American,Male,,Somewhat,A little bit,Somewhat,A little bit,A little bit,A little bit,A little bit,A little bit,3,0,AM,15,9,0,AM,5.5,Once or twice a week,Not during the past month,Fairly bad,Definitely an evening type,5,6,5,2,5,6,5,4,6,5,5,2,5,5,Very like me,Very like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Very unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Very like me,Neither like or unlike me,Very like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Very like me,5,4,5,3,3,4,4,5,5,3,5,3,4,4,5
0082,10/2/2018 23:12,20,"Asian / Asian American,Hispanic / Latino,White / European American",Female,,Somewhat,Somewhat,Quite a bit,Somewhat,A little bit,A little bit,Quite a bit,A little bit,12,30,AM,30,8,45,AM,7.5,Once or twice a week,Once or twice a week,Fairly good,Rather more an evening type than a morning type,4,3,4,2,6,1,6,6,2,6,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0083,10/3/2018 1:23,20,Asian / Asian American,Female,,Quite a bit,Somewhat,Very much,Somewhat,Somewhat,Not at all,Quite a bit,Somewhat,1,0,AM,20,8,30,AM,6,Less than once a week,Not during the past month,Fairly good,Rather more an evening type than a morning type,3,6,3,4,5,4,5,5,6,5,4,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0084,10/3/2018 12:09,18,White / European American,Male,,A little bit,A little bit,Somewhat,Somewhat,A little bit,Somewhat,Somewhat,A little bit,11,45,PM,8,7,40,AM,7.5,Less than once a week,Not during the past month,Fairly good,Definitely a morning type,3,7,4,2,4,3,3,1,3,3,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0085,10/3/2018 12:30,19,Native American / Alaska Native,Female,,Very much,Not at all,Very much,Very much,Very much,Very much,Very much,Very much,2,0,AM,20,9,0,AM,6,Three or more times a week,Three or more times a week,Fairly bad,Definitely an evening type,5,5,5,5,5,1,4,4,1,5,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0086,10/3/2018 15:14,18,White / European American,Female,,Somewhat,Quite a bit,Somewhat,Somewhat,A little bit,Not at all,A little bit,Somewhat,11,0,PM,40,8,0,AM,9.5,Once or twice a week,Less than once a week,Fairly good,Rather more a morning type than an evening type,5,4,3,4,7,5,4,5,2,5,5,5,4,4,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Very unlike me,Somewhat unlike me,Somewhat unlike me,Very like me,Very unlike me,Somewhat like me,Very like me,Very like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Very like me,Somewhat like me,Somewhat like me,Very like me,Very unlike me,Neither like or unlike me,Very unlike me,3,7,7,3,7,7,7,4,5,6,3,7,5,7,4
0087,10/3/2018 15:57,18,"Asian / Asian American,Hispanic / Latino,Native American / Alaska Native,White / European American",Female,,Somewhat,Not at all,Quite a bit,A little bit,Somewhat,A little bit,Quite a bit,Somewhat,1,0,AM,20,9,0,AM,7.5,Once or twice a week,Once or twice a week,Fairly good,Definitely an evening type,5,2,2,1,7,1,6,5,3,5,7,5,6,4,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Very like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Somewhat unlike me,Neither like or unlike me,Somewhat like me,7,7,4,5,5,3,6,7,5,7,4,6,7,7,4
0088,10/3/2018 19:23,21,White / European American,Female,,Somewhat,Somewhat,Very much,Somewhat,Somewhat,A little bit,Somewhat,Somewhat,10,30,PM,10,8,0,AM,9,Less than once a week,Not during the past month,Fairly good,Definitely an evening type,5,6,5,2,4,5,5,5,4,4,4,6,5,5,Somewhat like me,Neither like or unlike me,Very like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Very like me,Somewhat like me,Very like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Very like me,Somewhat like me,Very like me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Very like me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,6,6,4,3,6,3,6,6,5,3,4,6,6,6,4
0089,10/2/2018 19:12,19,Asian / Asian American,Male,,Somewhat,Not at all,A little bit,A little bit,Somewhat,A little bit,Somewhat,Somewhat,2,0,AM,10,10,30,AM,6.5,Less than once a week,Not during the past month,Fairly good,Definitely an evening type,7,6,3,3,3,6,3,5,3,5,4,6,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0090,10/3/2018 20:40,19,White / European American,Female,,Not at all,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,11,0,PM,10,8,15,AM,8.5,Not during the past month,Not during the past month,Very good,Definitely a morning type,6,7,4,1,3,7,7,7,6,3,4,6,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0091,10/3/2018 22:03,18,"Asian / Asian American,Hispanic / Latino",Female,,Somewhat,Somewhat,Quite a bit,Somewhat,Quite a bit,A little bit,A little bit,Somewhat,12,0,AM,70,6,55,AM,7,Three or more times a week,Less than once a week,Fairly good,Definitely a morning type,5,3,5,1,4,2,5,5,2,4,4,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0092,10/3/2018 23:08,20,Asian / Asian American,Male,,Somewhat,A little bit,A little bit,A little bit,A little bit,Not at all,A little bit,A little bit,1,15,AM,30,8,0,AM,6.5,Once or twice a week,Once or twice a week,Fairly good,Rather more an evening type than a morning type,4,3,3,1,5,1,4,4,3,5,4,4,4,4,Very like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Very like me,Very unlike me,Very like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,5,5,5,6,3,4,5,5,5,6,2,3,5,5,3
