participant,Start Date,age,race,gender,gender_other,prsri_1,prsri_2,prsri_3,prsri_4,prsri_5,prsri_6,prsri_7,prsri_8,psqi_1_hour,psqi_1_min,psqi_1_ampm,psqi_2,psqi_3_hour,psqi_3_min,psqi_3_ampm,psqi_4,psqi_5a,psqi_5b,psqi_6,meq_19,erqf_1,erqf_2,erqf_3,erqf_4,erqf_5,erqf_6,erqf_7,erqf_8,erqf_9,erqf_10,erqdf_1,erqdf_2,erqdf_3,erqdf_4,pers_1,pers_2,pers_3,pers_4,pers_5,pers_6,pers_7,pers_8,pers_9,pers_10,pers_11,pers_12,pers_13,pers_14,pers_15,pers_16,pers_17,pers_18,pers_19,pers_20,pers_21,pers_22,pers_23,pers_24,pers_25,pers_26,pers_27,pers_28,pers_29,pers_30,erqse_1,erqse_2,erqse_3,erqse_4,erqse_5,erqse_6,erqse_7,erqse_8,erqse_att,erqse_9,erqse_10,erqse_11,erqse_12,erqse_13,erqse_14
0103,10/4/2018 21:11,18,White / European American,Female,,Somewhat,A little bit,Quite a bit,Somewhat,Somewhat,Not at all,Quite a bit,A little bit,12,0,AM,30,8,0,AM,7,Once or twice a week,Not during the past month,Fairly good,Rather more an evening type than a morning type,6,2,5,1,5,5,6,6,2,6,6,6,7,5,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Very like me,Somewhat unlike me,Very like me,Neither like or unlike me,Very like me,Somewhat unlike me,Very like me,Neither like or unlike me,Very like me,Neither like or unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Neither like or unlike me,Very like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,6,7,5,3,4,6,5,5,5,7,5,5,5,5,5
0104,10/4/2018 22:14,20,"Native American / Alaska Native,White / European American",Female,,Quite a bit,A little bit,Very much,Somewhat,Quite a bit,Somewhat,Very much,Quite a bit,2,30,AM,2,8,40,AM,6.5,Not during the past month,Less than once a week,Fairly good,Definitely an evening type,4,5,5,1,3,3,5,4,2,4,4,4,2,4,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Very unlike me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,5,6,2,4,3,5,5,4,5,6,2,3,5,3,3
0105,10/5/2018 13:03,18,Asian / Asian American,Male,,Quite a bit,A little bit,Very much,Very much,Quite a bit,Very much,Very much,A little bit,12,40,AM,20,8,46,AM,7,Three or more times a week,Less than once a week,Fairly bad,Rather more an evening type than a morning type,5,4,6,2,5,3,6,6,3,6,6,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0106,10/5/2018 13:28,18,White / European American,Female,,Quite a bit,Not at all,Quite a bit,Somewhat,Somewhat,Quite a bit,Quite a bit,Quite a bit,1,0,AM,30,8,0,AM,6,Less than once a week,Once or twice a week,Fairly good,Definitely an evening type,5,6,3,4,2,5,5,3,6,4,1,5,2,2,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Very like me,Very unlike me,Very like me,Very unlike me,Very like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Very like me,Very like me,Very like me,Very unlike me,Very like me,2,7,2,7,1,5,2,4,5,7,2,1,3,4,1
0107,10/5/2018 14:43,19,Asian / Asian American,Female,,Quite a bit,Somewhat,Quite a bit,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,1,30,AM,1,7,30,AM,6,Not during the past month,Once or twice a week,Fairly good,Definitely a morning type,5,4,3,2,3,3,5,5,6,4,3,3,4,4,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,5,2,4,4,4,4,4,4,5,4,4,5,5,4,3
0108,10/5/2018 15:07,22,Asian / Asian American,Female,,A little bit,A little bit,Quite a bit,Somewhat,Somewhat,Somewhat,Quite a bit,Somewhat,2,0,AM,20,9,0,AM,7,Less than once a week,Less than once a week,Fairly good,Definitely an evening type,3,2,3,1,2,2,4,4,2,4,4,5,4,4,Somewhat unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Very like me,Very like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Very like me,4,2,2,4,2,3,2,3,5,3,3,2,3,3,2
0109,10/5/2018 15:15,18,Asian / Asian American,Female,,A little bit,Somewhat,Quite a bit,A little bit,A little bit,Not at all,A little bit,Not at all,12,45,AM,5,7,30,AM,6.5,Not during the past month,Less than once a week,Fairly good,Rather more a morning type than an evening type,4,5,5,1,6,2,5,5,3,5,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0110,10/5/2018 21:06,19,White / European American,Female,,A little bit,Quite a bit,Somewhat,A little bit,A little bit,A little bit,A little bit,A little bit,12,30,AM,15,8,15,AM,7,Less than once a week,Less than once a week,Very good,Definitely an evening type,5,5,4,3,6,6,6,6,3,5,5,5,2,3,Very like me,Neither like or unlike me,Very like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Very like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Very like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Very like me,Somewhat like me,Somewhat like me,Very unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,5,6,4,3,3,5,3,4,5,6,3,4,5,5,5
0111,10/5/2018 21:20,19,White / European American,Female,,Very much,Not at all,Very much,Somewhat,Quite a bit,A little bit,Very much,Somewhat,12,0,AM,15,9,30,AM,9,Not during the past month,Not during the past month,Fairly good,Definitely an evening type,2,2,2,1,4,1,2,2,2,2,7,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0112,10/5/2018 21:24,20,Asian / Asian American,Female,,A little bit,Not at all,Very much,Somewhat,Somewhat,A little bit,Quite a bit,A little bit,2,0,AM,5,9,0,AM,7,Less than once a week,Less than once a week,Fairly good,Rather more an evening type than a morning type,4,6,2,2,2,6,3,2,3,2,4,3,5,3,Somewhat like me,Very like me,Somewhat like me,Very like me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Very like me,Very like me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,5,4,4,3,3,4,4,4,5,3,5,3,4,5,5
0113,10/5/2018 21:20,18,Black / African American,Male,,A little bit,A little bit,Quite a bit,Somewhat,A little bit,A little bit,Somewhat,Somewhat,11,45,AM,20,8,0,AM,8,Once or twice a week,Less than once a week,Fairly good,Definitely an evening type,4,5,3,5,5,6,5,3,7,5,4,4,4,4,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Neither like or unlike me,Neither like or unlike me,3,6,3,6,4,6,3,4,5,6,4,5,5,4,5
0114,10/5/2018 23:13,18,Asian / Asian American,Female,,Quite a bit,Somewhat,Quite a bit,Quite a bit,Somewhat,Somewhat,Quite a bit,Somewhat,1,0,AM,3,8,0,AM,6,Not during the past month,Once or twice a week,Fairly good,Rather more an evening type than a morning type,3,7,3,5,5,5,5,5,6,5,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0115,10/6/2018 14:22,18,Black / African American,Female,,Somewhat,Somewhat,Very much,A little bit,A little bit,Not at all,Quite a bit,A little bit,1,0,AM,15,8,15,AM,7,Once or twice a week,Once or twice a week,Fairly bad,Rather more an evening type than a morning type,6,5,6,1,5,3,5,6,5,5,7,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0116,9/29/2018 16:56,18,Asian / Asian American,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Neither like or unlike me,Somewhat unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Neither like or unlike me,Neither like or unlike me,5,7,5,7,5,7,5,5,5,7,5,5,5,4,5
0117,10/6/2018 16:56,19,Other,Male,,Somewhat,A little bit,Quite a bit,A little bit,A little bit,A little bit,A little bit,Not at all,11,15,PM,20,6,30,AM,7,Less than once a week,Not during the past month,Fairly good,Rather more a morning type than an evening type,6,6,4,3,5,4,6,6,5,6,5,5,6,5,Neither like or unlike me,Very like me,Somewhat unlike me,Very like me,Very unlike me,Somewhat like me,Somewhat unlike me,Very like me,Very unlike me,Very unlike me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Very like me,Very like me,Somewhat like me,Very like me,Very unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Very unlike me,Somewhat like me,6,7,3,4,6,5,4,6,5,7,6,2,3,4,3
0118,10/6/2018 20:31,18,White / European American,Female,,Somewhat,Not at all,Very much,A little bit,Somewhat,A little bit,Quite a bit,Somewhat,1,0,AM,12,8,0,AM,7,Less than once a week,Less than once a week,Fairly good,Rather more an evening type than a morning type,5,5,5,1,3,6,4,1,5,2,3,5,4,3,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Very like me,Somewhat like me,Very like me,Somewhat like me,Very like me,Somewhat like me,Somewhat unlike me,Very like me,Very like me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Very like me,Neither like or unlike me,Very like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat like me,5,7,3,3,4,7,5,5,5,6,4,4,4,4,5
0119,9/29/2018 21:58,19,White / European American,Female,,Somewhat,Somewhat,Quite a bit,Not at all,A little bit,A little bit,Somewhat,Somewhat,10,30,PM,15,7,30,AM,8.5,Less than once a week,Less than once a week,Very good,Rather more a morning type than an evening type,5,5,5,1,4,5,5,5,5,5,4,5,6,6,Very like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Very like me,Very unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Very like me,Very like me,Very like me,Very like me,Somewhat unlike me,Very like me,Very unlike me,Somewhat like me,Very unlike me,Very like me,Somewhat like me,Somewhat like me,Somewhat unlike me,6,4,4,5,4,4,3,5,5,4,4,5,5,5,5
0120,10/6/2018 21:55,18,"Black / African American,White / European American",Female,,Somewhat,A little bit,Quite a bit,A little bit,A little bit,Not at all,A little bit,Not at all,11,0,PM,12,8,45,AM,8.5,Not during the past month,Not during the past month,Fairly good,Rather more a morning type than an evening type,6,3,6,1,5,2,6,5,3,6,5,6,3,5,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Somewhat unlike me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Very like me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,6,6,5,6,5,5,6,6,5,4,5,6,6,5,5
0121,10/2/2018 1:45,19,Asian / Asian American,Female,,Somewhat,A little bit,Quite a bit,Somewhat,Somewhat,A little bit,Quite a bit,A little bit,1,30,AM,20,9,0,AM,7,Less than once a week,Less than once a week,Fairly good,Definitely a morning type,6,1,4,1,4,1,5,4,4,5,3,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0122,10/7/2018 9:19,18,"Asian / Asian American,White / European American",Female,,Somewhat,Somewhat,Quite a bit,Quite a bit,Somewhat,Somewhat,Very much,Somewhat,12,30,AM,20,7,30,AM,6.5,Once or twice a week,Less than once a week,Fairly bad,Definitely an evening type,5,7,4,5,3,6,5,4,6,4,4,4,5,5,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat unlike me,Neither like or unlike me,4,6,3,5,4,7,4,4,5,6,4,5,4,4,5
0123,10/7/2018 19:08,21,"Hispanic / Latino,White / European American",Male,,A little bit,A little bit,A little bit,Quite a bit,A little bit,A little bit,A little bit,A little bit,1,30,AM,10,8,45,AM,6,Less than once a week,Not during the past month,Fairly good,Rather more a morning type than an evening type,5,6,1,3,5,4,3,4,4,3,2,3,6,3,Somewhat unlike me,Neither like or unlike me,Very unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Somewhat unlike me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Somewhat unlike me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,4,5,3,5,6,3,3,5,5,4,4,2,2,3,2
0124,10/7/2018 19:12,20,Black / African American,Female,,Quite a bit,Not at all,Very much,Very much,Very much,Quite a bit,Very much,Very much,1,0,AM,17,6,30,AM,5,Less than once a week,Once or twice a week,Fairly bad,Rather more a morning type than an evening type,4,3,5,4,7,3,4,6,5,5,7,3,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0125,10/7/2018 19:35,19,White / European American,Male,,Quite a bit,Somewhat,Quite a bit,Somewhat,Quite a bit,Not at all,Somewhat,Somewhat,12,30,AM,10,8,30,AM,6.5,Less than once a week,Not during the past month,Fairly bad,Rather more an evening type than a morning type,2,4,5,1,6,3,3,3,3,4,4,3,3,3,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat unlike me,Somewhat unlike me,Somewhat like me,Somewhat like me,Very unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Very unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Very like me,Neither like or unlike me,Somewhat like me,Very unlike me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Somewhat like me,7,7,6,7,7,7,6,6,5,7,6,5,5,6,6
0126,10/7/2018 22:07,19,"Asian / Asian American,White / European American",Female,,Quite a bit,A little bit,Very much,Very much,Very much,Very much,Very much,Somewhat,2,0,AM,20,9,10,AM,6,Less than once a week,Not during the past month,Fairly bad,Rather more an evening type than a morning type,7,3,1,1,4,1,1,1,3,1,7,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0127,10/8/2018 21:05,18,Hispanic / Latino,Male,,Quite a bit,Somewhat,Somewhat,Somewhat,Quite a bit,Not at all,Somewhat,A little bit,1,0,AM,15,9,0,AM,7,Not during the past month,Once or twice a week,Fairly good,Rather more an evening type than a morning type,5,4,5,1,5,4,5,5,5,4,3,5,4,4,Somewhat like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Very unlike me,Very like me,Very unlike me,Somewhat like me,Very unlike me,Neither like or unlike me,Somewhat unlike me,Neither like or unlike me,Very unlike me,Somewhat like me,Very unlike me,Very like me,Very unlike me,Somewhat like me,Somewhat unlike me,Very like me,Somewhat unlike me,Somewhat like me,Very unlike me,Very like me,Somewhat unlike me,Somewhat like me,Very unlike me,5,6,4,3,5,5,5,6,5,5,7,2,5,4,3
0128,10/8/2018 22:13,18,White / European American,Female,,A little bit,Somewhat,Very much,A little bit,A little bit,A little bit,A little bit,A little bit,1,0,AM,5,8,0,AM,7,Not during the past month,Not during the past month,Fairly good,Rather more a morning type than an evening type,5,5,5,3,6,3,5,5,5,5,5,5,5,5,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0129,10/8/2018 23:18,20,"Asian / Asian American,Black / African American",Female,,A little bit,Quite a bit,Somewhat,A little bit,A little bit,A little bit,A little bit,Not at all,11,0,PM,15,7,30,AM,8,Less than once a week,Less than once a week,Very good,Rather more an evening type than a morning type,6,1,6,1,7,1,6,6,2,6,2,3,2,3,Somewhat like me,Very like me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Very like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Very like me,Somewhat unlike me,Very like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Very like me,Somewhat like me,Somewhat like me,Very like me,Somewhat like me,Very like me,Somewhat like me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Somewhat unlike me,Somewhat unlike me,6,6,3,2,4,6,6,5,5,3,6,5,3,5,5
0130,10/8/2018 23:46,20,Asian / Asian American,Female,,Quite a bit,Somewhat,Quite a bit,Somewhat,Somewhat,Somewhat,Quite a bit,Somewhat,1,20,AM,15,8,45,AM,7,Once or twice a week,Less than once a week,Fairly good,Rather more a morning type than an evening type,5,4,6,1,3,3,6,6,4,5,1,2,3,4,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Very like me,Very like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Very like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Very like me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Neither like or unlike me,Somewhat like me,4,6,5,2,3,5,4,4,5,4,4,5,4,3,5
0131,10/9/2018 2:05,20,Asian / Asian American,Female,,Somewhat,Somewhat,Quite a bit,Somewhat,Quite a bit,A little bit,Somewhat,Somewhat,1,30,AM,10,9,0,AM,7,Not during the past month,Not during the past month,Fairly bad,Definitely an evening type,6,2,6,2,6,2,6,7,4,5,7,6,5,6,Very like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Very like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Very like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Very like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,6,3,4,3,4,2,5,5,5,3,4,4,5,4,3
0132,10/9/2018 12:33,20,White / European American,Male,,Somewhat,Very much,Somewhat,Not at all,Not at all,Not at all,A little bit,A little bit,11,59,PM,10,7,0,AM,8,Not during the past month,Not during the past month,Very good,Rather more a morning type than an evening type,6,5,5,1,6,4,6,6,6,5,4,4,5,5,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Very unlike me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Somewhat unlike me,Neither like or unlike me,Very like me,Somewhat like me,Very like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Very unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Neither like or unlike me,Somewhat like me,6,6,6,3,3,5,5,5,5,6,5,2,4,5,2
0133,10/9/2018 22:36,20,White / European American,Male,,Somewhat,Not at all,Quite a bit,Somewhat,Somewhat,A little bit,A little bit,Not at all,1,0,AM,20,7,30,AM,6,Less than once a week,Not during the past month,Fairly good,Rather more an evening type than a morning type,4,6,5,1,7,6,4,5,5,6,6,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0134,10/10/2018 0:32,20,Black / African American,Female,,Quite a bit,Somewhat,Very much,Somewhat,Somewhat,A little bit,Quite a bit,Quite a bit,4,0,AM,5,8,30,AM,4.5,Not during the past month,Not during the past month,Fairly good,Definitely an evening type,7,6,7,2,5,4,7,7,7,7,5,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0135,10/10/2018 16:42,18,White / European American,Male,,A little bit,A little bit,Somewhat,A little bit,A little bit,A little bit,Somewhat,Quite a bit,1,0,AM,5,8,30,AM,8,Not during the past month,Not during the past month,Fairly good,Rather more an evening type than a morning type,3,5,3,3,6,3,6,6,3,6,3,6,3,4,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Somewhat unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,5,4,3,5,4,5,6,4,5,3,6,2,5,4,4
0136,10/10/2018 16:52,21,White / European American,Female,,Quite a bit,Somewhat,Very much,Somewhat,Somewhat,Quite a bit,Very much,Quite a bit,10,30,PM,15,9,0,AM,6.5,Less than once a week,Three or more times a week,Fairly bad,Rather more a morning type than an evening type,5,4,2,2,4,6,4,1,5,3,5,4,6,6,Neither like or unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Very like me,Somewhat unlike me,Neither like or unlike me,Very like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Neither like or unlike me,Very like me,Somewhat like me,Very like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Very like me,Very like me,2,4,2,5,2,2,1,1,5,4,2,1,2,5,2
0137,10/10/2018 22:05,20,Black / African American,Female,,Quite a bit,Not at all,Quite a bit,Somewhat,Somewhat,Somewhat,Somewhat,Quite a bit,1,30,AM,5,10,0,AM,7,Not during the past month,Not during the past month,Fairly good,Rather more a morning type than an evening type,1,6,5,1,3,3,5,4,5,3,3,5,4,5,Somewhat like me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Very like me,2,2,2,3,2,2,4,3,5,3,3,3,4,3,3
0138,10/10/2018 22:31,20,Hispanic / Latino,Male,,Very much,Not at all,Very much,Very much,Very much,Somewhat,Quite a bit,Somewhat,2,30,AM,20,10,0,AM,6.5,Three or more times a week,Not during the past month,Fairly bad,Definitely an evening type,2,2,3,1,1,1,2,3,1,3,5,6,5,2,Somewhat unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Neither like or unlike me,Very like me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very unlike me,Somewhat unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Very like me,Somewhat like me,Neither like or unlike me,Very like me,Very like me,Very like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,3,6,3,4,4,5,1,2,5,7,2,4,2,4,4
0139,10/11/2018 15:41,19,Hispanic / Latino,Female,,Somewhat,Not at all,Very much,Not at all,Not at all,Not at all,Not at all,Not at all,2,0,AM,45,9,0,AM,5,Three or more times a week,Less than once a week,Fairly good,Definitely an evening type,7,4,6,1,7,6,7,5,5,6,7,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
